rho,D,d_sparse,m,beta,tau,b,i,ks_weight_bd_stat,ks_weight_bd_p,ks_weight_ea_stat,ks_weight_ea_p,ks_func_stat,ks_func_p,flip_real
0.078125,64,5,1200,0.008,0.2,1,3,0.0030907181604744594,0.4545586995301396,0.0022830557150081976,0.8173693288669486,0.023333333333333373,0.3876998139682971,0.7536666666666667
0.078125,128,10,1200,0.01,0.1,1,2,0.0016835977759778187,0.7759562466879378,0.0018597044778317362,0.6621054756494162,0.02266666666666667,0.4240487870058309,0.8781666666666667
0.15625,64,10,1200,0.01,0.1,1,2,0.002628356528774689,0.6625862964888934,0.0022908062090585546,0.8141686211034674,0.018000000000000016,0.7160857556936598,0.8761666666666666
0.15625,128,20,1200,0.0025,0.05,1,2,0.0019668346541520942,0.5915210066070515,0.0018882366974380116,0.6432446970814765,0.014666666666666661,0.9036450595195621,0.934
0.15625,64,10,600,0.01,0.1,1,2,0.006049701942925423,0.11980346629958438,0.0077748020694030084,0.019169338554317652,0.025000000000000022,0.3056418805655076,0.879
0.15625,64,10,2400,0.01,0.1,1,2,0.002093619258133006,0.5104589993336561,0.0019487345252654498,0.6033729346410839,0.03300000000000003,0.07623334614928251,0.8291666666666667
0.25,96,24,1200,0.001736111111111111,0.041666666666666664,1,2,0.0020386001028098732,0.7238238349522464,0.004466724293933688,0.020106808763371366,0.02633333333333332,0.2493183739706065,0.9463333333333334
0.3125,64,20,1200,0.0025,0.05,1,2,0.0032287373312166467,0.3991484232186475,0.0022268816790659285,0.8399698086590863,0.01666666666666667,0.7990409102875711,0.9295
0.3125,128,40,1200,0.000625,0.025,1,2,0.0024137522303268044,0.33190226143501567,0.0020181416046037848,0.5582427995635267,0.024666666666666726,0.32101945187225356,0.9683333333333334
0.5,64,32,1200,0.0009765625,0.03125,1,2,0.0031273621416759156,0.4394531177633879,0.0032346936343694566,0.39685080911221393,0.014333333333333365,0.917644347795967,0.9568333333333333
